 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    7.7369    4.0000   23.5897    8.8466    5.3556    0.8541    4.6751    8.8139  1.0000E-10     -0.2625  6.0986E-11
    7.7372    4.0000   23.5897    8.8433    5.3502    0.6176    4.7920    8.8147  1.0000E-10     -0.2625  6.3212E-11
    7.7375    4.0000   23.5897    8.8396    5.3406    0.3895    4.9037    8.8155  1.0000E-10     -0.2625  6.4410E-11
    7.7379    4.0000   23.5897    8.8358    5.3232    0.1979    4.9951    8.8164  1.0000E-10     -0.2625  6.5093E-11
    7.7384    4.0000   23.5897    8.8308    5.2819    0.0348    5.0663    8.8177  1.0000E-10     -0.2625  6.5616E-11
    7.7397    7.0000    8.8199    8.8199    5.2210   -0.0447    5.0909    0.0000  8.8199E+00      7.0691  1.1217E-10
    7.7657    7.0000    8.7317    8.7317    5.2211   -0.0597    5.0984    0.0000  8.7317E+00      7.0642  1.2121E-10
    7.7747    7.0000    8.7011    8.7011    5.2212   -0.0657    5.1014    0.0000  8.7011E+00      7.0623  1.2500E-10
    7.7748    7.0000    8.7010    8.7010    5.2212   -0.0657    5.1014    0.0000  8.7010E+00      7.0623  1.2501E-10
    7.7748    8.0000    8.7010    8.7010    5.2212   -0.0657    5.1014    5.8650  1.0000E-10      7.0623  5.9647E-10
    7.7759    8.0000    8.7010    8.6972    5.2266   -0.0639    5.1019    5.8797  1.0000E-10      7.0623  5.9802E-10
    7.7770    8.0000    8.7010    8.6935    5.2321   -0.0620    5.1023    5.8945  1.0000E-10      7.0623  5.9958E-10
    7.7780    8.0000    8.7010    8.6897    5.2375   -0.0601    5.1027    5.9093  1.0000E-10      7.0623  6.0115E-10
    7.7791    8.0000    8.7010    8.6858    5.2430   -0.0582    5.1031    5.9242  1.0000E-10      7.0623  6.0274E-10
    7.7802    8.0000    8.7010    8.6820    5.2485   -0.0563    5.1035    5.9391  1.0000E-10      7.0623  6.0433E-10
    7.7812    8.0000    8.7010    8.6780    5.2539   -0.0543    5.1039    5.9541  1.0000E-10      7.0623  6.0593E-10
    7.7822    8.0000    8.7010    8.6741    5.2594   -0.0523    5.1043    5.9690  1.0000E-10      7.0623  6.0754E-10
    7.7833    8.0000    8.7010    8.6701    5.2648   -0.0503    5.1046    5.9841  1.0000E-10      7.0623  6.0916E-10
    7.7843    8.0000    8.7010    8.6661    5.2703   -0.0482    5.1050    5.9991  1.0000E-10      7.0623  6.1078E-10
    7.7853    8.0000    8.7010    8.6621    5.2757   -0.0461    5.1053    6.0142  1.0000E-10      7.0623  6.1240E-10
